ticket_id,customer_id,created_at,category,channel,priority,first_response_time_hours,resolution_time_hours,is_open,breached_sla,summary
T_MEOQ4YRP,C_VULEMX15,2025-04-20T23:07:00,Billing,email,low,14.273309579271999,11.395639272147728,0,0,Slow dashboard
T_9E7EOBJL,C_P9P9W4J6,2025-02-12T03:08:00,Integration,email,medium,16.04797077080331,35.00335983334891,0,0,Slow dashboard
T_4U9BXF44,C_E13N3BZT,2025-06-23T16:49:00,Integration,chat,high,10.417466191980164,13.11801235486538,0,0,Request export option
T_Q4QERXDO,C_PKXVHAGK,2025-02-12T02:48:00,Feature,phone,medium,5.169610429391049,14.372014738806463,0,0,Suspicious login
T_ZE1HM38K,C_C97C7BO1,2025-05-21T00:52:00,Billing,phone,medium,3.714392151225899,12.578949358021065,0,0,Suspicious login
T_3GM1BWYE,C_5RH8LX6D,2025-04-06T22:06:00,Billing,chat,urgent,0.8527607898514404,1.908321670734772,0,0,Refund request
T_961J88QE,C_KTMONRVB,2025-04-26T14:42:00,Performance,chat,urgent,5.782411632766918,3.9633680084005674,0,1,Slow dashboard
T_GTWZ1UU7,C_0W10LBT3,2025-06-04T22:56:00,Integration,phone,high,5.961895289262486,9.909432107758947,0,0,Webhook failing
T_29YFC2HT,C_3P91I3VM,2025-04-17T21:47:00,Security,phone,urgent,9.11790846774345,,1,1,Refund request
T_LTAJW253,C_C3C54WSQ,2025-04-26T03:39:00,Security,chat,urgent,1.643273344153196,6.22916225614455,0,0,Request export option
T_JF4AQ7B7,C_F60YKNFU,2025-06-12T22:45:00,Integration,phone,medium,5.904534572776877,9.29836146512501,0,0,Slow dashboard
T_TOM5XLK8,C_6NOUHFJ7,2025-01-14T20:39:00,Security,phone,urgent,8.67251363541131,26.4696511697029,0,1,Refund request
T_8NTK63N2,C_U4DTBH55,2025-05-16T15:35:00,Security,email,low,28.081330609511493,41.480312620971006,0,0,Invoice mismatch
